City-Name,Address,Latitude,Longitude
Grand Rapids-Kalamazoo-Battle Creek MI,"Tesla Supercharger, 5531, 28th Street Southeast, Cascade, Cascade Charter Township, Kent County, Michigan, 49546, United States of America",42.9142413,-85.533004
Lansing MI,"Lansing, Ingham County, Michigan, United States of America",42.7337712,-84.5553805
Marquette MI,"Marquette County, Michigan, United States of America",46.4481521,-87.6305899
Toledo OH,"Toledo, Lucas County, Ohio, United States of America",41.6786754,-83.5127283
Traverse City-Cadillac MI,"WPBN-TV (Traverse City), No 11 1/4 Road, Slagle Township, Wexford County, Michigan, 49638, United States of America",44.2758388,-85.7136746
Duluth MN-Superior WI,"Duluth Post Office, West Superior Street, Duluth, Saint Louis County, Minnesota, 55807, United States",46.7599265,-92.1340655
Fargo-Valley City ND,"Super 8 West Fargo Main Ave ND, Main Avenue East, West Fargo, Cass County, North Dakota, 58087, United States of America",46.876138,-96.8838464
La Crosse-Eau Claire WI,"La Crosse, La Crosse County, Wisconsin, United States of America",43.8014053,-91.2395429
Mankato MN,"Mankato, Blue Earth County, Minnesota, United States of America",44.1634663,-93.9993505
Minneapolis-St. Paul MN,"Minneapolis, Hennepin County, Minnesota, United States of America",44.9772995,-93.2654692
Biloxi-Gulfport MS,"Gulfport-Biloxi International Airport, Airport Road, Gulfport, Harrison County, Mississippi, 39502, United States",30.40711375,-89.07143302
Columbus-Tupelo-West Point MS,"Columbus Middle School, 400, South Dickason Boulevard, Columbus Historic Downtown, Columbus, Columbia County, Wisconsin, 53925, United States of America",43.3365725,-89.0193601
Greenwood-Greenville MS,"Greenwood Middle School, Averitt Road, Greenwood, Johnson County, Indiana, 46143, United States",39.59493885,-86.12237862
Hattiesburg-Laurel MS,"Hattiesburg, Forrest County, Mississippi, United States",31.3271189,-89.2903392
Jackson MS,"Jackson Middle School, 10625, Southwest 35th Avenue, West Portland Park, Portland, Multnomah County, Oregon, 97219, United States",45.44924535,-122.7154051
Columbia-Jefferson City MO,"Columbia, Boone County, Missouri, United States of America",38.951883,-92.3337366
Quincy IL-Hannibal MO-Keokuk IA,"Quincy, Adams County, Iowa, 50839, United States",41.0402645,-94.790254
"Billings, MT","Billings, Yellowstone County, Montana, United States",45.7874957,-108.49607
Butte-Bozeman MT,"Butte Creek, Gallatin County, Montana, United States",45.421399,-111.069811
Glendive MT,"Glendive, Dawson County, Montana, United States",47.10529,-104.71246
Great Falls MT,"Great Falls, Cascade County, Montana, United States of America",47.5048851,-111.2918908
Helena MT,"Helena, Lewis and Clark County, Montana, United States of America",46.592712,-112.036109
Minot-Bismarck-Dickinson(Williston) ND,"Minot, Ward County, North Dakota, United States",48.23251,-101.296273
Missoula MT,"Missoula, Missoula County, Montana, United States of America",46.8700801,-113.9952796
Cheyenne WY-Scottsbluff NE,"Cheyenne Way, Thousand Oaks, Ventura County, California, CA 91362, United States",34.1712252,-118.8433527
Lincoln & Hastings-Kearney NE,"Lincoln Park, Hastings, Adams County, Nebraska, United States",40.56902635,-98.39126256
North Platte NE,"North Platte, Lincoln County, Nebraska, 69101, United States of America",41.1238873,-100.7654232
Sioux Falls(Mitchell) SD,,43.536388,-96.731667
Las Vegas NV,"Las Vegas, Clark County, Nevada, United States of America",36.1662859,-115.149225
Salt Lake City UT,"Salt Lake City, Salt Lake County, Utah, United States of America",40.7670126,-111.8904308
Burlington VT-Plattsburgh NY,,44.475883,-73.212074
New York NY,"New York, United States of America",40.7127281,-74.0060152
Albuquerque-Santa Fe NM,"Albuquerque, Bernalillo County, New Mexico, United States of America",35.0841034,-106.6509851
Amarillo TX,"Amarillo, Potter County, Texas, 79105, United States of America",35.2072185,-101.8338246
El Paso TX,"El Paso, El Paso County, Texas, United States of America",31.7600372,-106.487287
Albany-Schenectady-Troy NY,"Troy Schenectady Road, Newtonville, Town of Colonie, Albany County, New York, 12110, United States of America",42.7373,-73.724799
Binghamton NY,"Binghamton, Broome County, New York, United States of America",42.096968,-75.914341
Buffalo NY,"Buffalo, Erie County, New York, United States of America",42.8867166,-78.8783922
Burlington VT-Plattsburgh NY,,44.69913101,-73.45303345
Elmira NY,"Elmira, Chemung County, New York, United States",42.0897965,-76.8077338
Rochester NY,"Rochester, Monroe County, New York, United States",43.157285,-77.615214
Syracuse NY,"Syracuse, Onondaga County, New York, United States of America",43.0481221,-76.1474244
Utica NY,"Utica, Oneida County, New York, 13502, United States of America",43.1009031,-75.2326641
Watertown NY,"Watertown, Jefferson County, New York, 13601, United States",43.9747838,-75.9107565
Charlotte NC,"Charlotte, Mecklenburg County, North Carolina, United States of America",35.2270869,-80.8431268
Florence-Myrtle Beach SC,"Florence Avenue, Milford, New Haven County, Connecticut, 06460, United States",41.2040101,-73.0970039
Greensboro-High Point-Winston Salem NC,"Greensboro, Guilford County, North Carolina, United States of America",36.0726355,-79.7919754
Greenville-New Bern-Washington NC,"Greenville, Pitt County, North Carolina, United States of America",35.612661,-77.3663538
Greenville-Spartanburg SC-Asheville NC-Anderson SC,"Greenville, Greenville County, South Carolina, United States of America",34.851354,-82.3984882
Norfolk-Portsmouth-Newport News VA,"Norfolk, Virginia, 23510, United States",36.8462923,-76.2929252
Raleigh-Durham (Fayetteville) NC,"Raleigh, Wake County, North Carolina, United States of America",35.7803977,-78.6390989
Wilmington NC,"Wilmington, New Hanover County, North Carolina, United States of America",34.2257282,-77.9447107
Cleveland-Akron (Canton) OH,"Akron Cleveland Road, Boston Heights, Summit County, Ohio, 44236, United States",41.2278419,-81.4910108
Columbus OH,"Columbus, Franklin County, Ohio, United States of America",39.9622601,-83.0007065
Dayton OH,"Dayton, Montgomery County, Ohio, United States of America",39.7589478,-84.1916069
Lima OH,"Lima, Allen County, Ohio, United States of America",40.7399785,-84.105006
Parkersburg WV,"Parkersburg, Wood County, West Virginia, United States of America",39.2699565,-81.5506916
Wheeling WV-Steubenville OH,,40.064,-80.7209
Youngstown OH,"Youngstown, Mahoning County, Ohio, United States of America",41.1035786,-80.6520161
Zanesville OH,"Zanesville, Muskingum County, Ohio, 43701, United States",39.9403453,-82.0131924
Oklahoma City OK,"Oklahoma City, Oklahoma County, Oklahoma, United States",35.4729886,-97.5170536
Sherman TX-Ada OK,"Road II, Boy, Texas County, Oklahoma, 73949, United States of America",36.5012047,-101.7637194
Tulsa OK,"Tulsa, Tulsa County, Oklahoma, United States of America",36.1556805,-95.9929113
Wichita Falls TX & Lawton OK,,33.930828,-98.484879
Bend OR,"Bend, Deschutes County, Oregon, United States",44.0581728,-121.3153096
Eugene OR,"Eugene, Lane County, Oregon, United States",44.0505054,-123.0950506
Portland OR,"Portland, Multnomah County, Oregon, United States of America",45.5202471,-122.6741949
Yakima-Pasco-Richland-Kennewick WA,"Yakima River, Richland, Benton County, Washington, 99352, United States",46.2591683,-119.2904401
Erie PA,"Erie, Erie County, Pennsylvania, United States of America",42.1294712,-80.0852695
Harrisburg-Lancaster-Lebanon-York PA,"Harrisburg, Dauphin County, Pennsylvania, United States",40.2663107,-76.8861122
Johnstown-Altoona PA,"Johnstown, Cambria County, Pennsylvania, United States",40.3267407,-78.9219698
Pittsburgh PA,"Pittsburgh, Allegheny County, Pennsylvania, United States",40.4416941,-79.9900861
Wilkes Barre-Scranton PA,"Wilkes-Barre, Luzerne County, Pennsylvania, United States of America",41.2464824,-75.8817316
Charleston SC,"Charleston, Charleston County, South Carolina, United States of America",32.7876012,-79.9402728
Columbia SC,"Columbia, Richland County, South Carolina, United States",34.0007493,-81.0343313
Rapid City SD,"Rapid City, Pennington County, South Dakota, United States of America",44.081176,-103.228006
Jackson TN,"Jackson, Madison County, Tennessee, United States of America",35.6144446,-88.8177418
Abilene-Sweetwater TX,"Abilene, Taylor County, Texas, United States of America",32.44645,-99.7475905
Austin TX,"Austin, Travis County, Texas, United States of America",30.2711286,-97.7436995
Beaumont-Port Arthur TX,"9th Avenue, Port Arthur, Jefferson County, Texas, 77627, United States",29.948825,-93.980509
Corpus Christi TX,"Corpus Christi, Nueces County, Texas, United States",27.8002542,-97.3955744
Dallas-Ft. Worth TX,"Tom Landry Freeway, Fort Worth, Tarrant County, Texas, 76120, United States",32.7599075,-97.1735626
Harlingen-Weslaco-Brownsville-McAllen TX,"Harlingen, Cameron County, Texas, United States of America",26.1908241,-97.6959794
Houston TX,"Houston, Harris County, Texas, United States of America",29.7589382,-95.3676974
Laredo TX,"Laredo, Webb County, Texas, United States of America",27.5199841,-99.4953764
Lubbock TX,"Lubbock, Lubbock County, Texas, United States of America",33.5778631,-101.8551665
Odessa-Midland TX,"Odessa Faudree DTP X Addition, Mission, Odessa, Midland County, Texas, 79765, United States",31.9061867,-102.2839569
San Angelo TX,"San Angelo, Tom Green County, Texas, United States",31.4648357,-100.4398442
San Antonio TX,"San Antonio, Bexar County, Texas, United States of America",29.4246002,-98.4951405
Tyler-Longview(Lufkin & Nacogdoches) TX,"Tyler, Smith County, Texas, United States of America",32.3512601,-95.3010624
Victoria TX,"Victoria County, Texas, United States",28.8026443,-96.9766308
Waco-Temple-Bryan TX,"Waco Street, Bryan, Brazos County, Texas, 77803, United States",30.681537,-96.3564665
Bluefield-Beckley-Oak Hill WV,"Bluefield, Mercer County, West Virginia, 24701, United States",37.2698395,-81.2223195
Charlottesville VA,"Charlottesville, Virginia, United States",38.029306,-78.4766781
Harrisonburg VA,"Harrisonburg, Virginia, 22807, United States",38.4493315,-78.8688833
Richmond-Petersburg VA,"Richmond Vale, Saint Thomas, Surrey County, Jamaika",17.9852846,-76.5871847
Roanoke-Lynchburg VA,"Roanoke, Virginia, United States",37.2738215,-79.96020215
Washington DC (Hagerstown MD),,38.9848,-77.5619
Seattle-Tacoma WA,"Seattle-Tacoma International Airport, Des Moines Memorial Drive South, SeaTac, King County, Washington, 98148, United States of America",47.4475673,-122.3080159
Clarksburg-Weston WV,"Clarksburg, Harrison County, West Virginia, United States",39.2806451,-80.3445341
Wheeling WV-Steubenville OH,,40.064,-80.7209
Green Bay-Appleton WI,"The Green, Marcham, Vale of White Horse, Oxfordshire, South East, England, OX13 6NE, United Kingdom",51.6662868,-1.3428908
Madison WI,"Madison, Dane County, Wisconsin, United States of America",43.074761,-89.3837613
Milwaukee WI,"Milwaukee, Milwaukee County, Wisconsin, United States of America",43.0349931,-87.922497
Wausau-Rhinelander WI,"Wausau, Marathon County, Wisconsin, United States",44.9596017,-89.6298239
Casper-Riverton WY,"Casper Way, Barrow County, Georgia, United States",33.9392689,-83.6526124
